,rank,name,date,url,type,total_image,total_video,total_keyword,total_text
0,1,강아지 오렌지 먹여도 될까요,2020.04.18.,https://m.blog.naver.com/bichon-haru/moment/49606,moment,-,-,-,-
1,2,강아지 친구가 꼭 필요할까요?,5일 전,https://m.cafe.naver.com/dogpalza/16953179,cafe,-,-,-,-
2,3,강아지 납치 제발도와주세요.,2020.12.31.,https://m.cafe.naver.com/dogpalza/16926290,cafe,-,-,-,-
3,4,인천강아지분양 포메라니안 반려 후 바뀐 나날들!,2일 전,https://m.blog.naver.com/leeminsu1998/222213079028,blog,21,1,10,3359
4,5,강아지 싫어했는데 지금은 ㅋㅋ,23시간 전,https://m.cafe.naver.com/freedogcat/586965,cafe,-,-,-,-
5,6,강아지덴탈껌 반려소반 미트프리덴탈츄 치석제거도 쉽게!,5일 전,https://m.blog.naver.com/js2y86/222209701865,blog,28,1,13,2971
6,7,수원강아지분양 포메라니안 덕에 단조로운 일상 탈출!,어제,https://m.blog.naver.com/jineestar/222213914297,blog,21,1,13,3498
7,8,광주강아지분양 댕댕이와 함께 하는 생활!,3일 전,https://m.blog.naver.com/taeyun1129/222211582086,blog,22,1,13,3015
8,9,강아지 노즈워크장난감,2020.09.23.,https://m.blog.naver.com/wilddog33/moment/357504,moment,-,-,-,-
9,10,강아지? 고양이? 뭐가 좋을까요?,2일 전,https://m.cafe.naver.com/imsanbu/53982663,cafe,-,-,-,-
10,11,강아지 백내장 알아보고 예방해요!,6시간 전,https://m.blog.naver.com/jiiiine/222215060516,blog,24,1,10,3980
11,12,시츄 둘 포메 방울이 하나! 강아지 산책일기,2020.05.05.,https://m.blog.naver.com/keroann/moment/98357,moment,-,-,-,-
12,13,강아지 보호자를 화나게 하는 말 5가지!,2020.12.16.,https://m.post.naver.com/viewer/postView.nhn?volumeNo=30216532&memberNo=38399662&vType=VERTICAL,-,-,-,-,-
13,14,"강아지간식, 훈련용으로 딱인 페오펫 동결건조",4시간 전,https://m.blog.naver.com/eruriee/222215207466,blog,19,1,9,2281
14,15,강아지 혼자 키우는게 너무 힘들어요,2021.01.03.,https://m.cafe.naver.com/pomeranian/182370,cafe,-,-,-,-
15,16,[반려상식] 강아지 목욕에 대한 모든 것 (1),3일 전,https://m.blog.naver.com/feelstar0/222211494034,blog,11,0,20,2904
16,17,오늘 새롭게 등록한 강아지인식표 펜던트들,2020.07.15.,https://m.blog.naver.com/eviemi/moment/243348,moment,-,-,-,-
17,18,강아지 췌장염 증상 예방하는 꿀팁 - 황철호원장,2일 전,https://m.blog.naver.com/drdolittle/222212748041,blog,13,0,5,2032
18,19,나의 사랑스러운 강아지 하루에게,2021.01.09.,https://m.cafe.naver.com/healingdogcat/577516,cafe,-,-,-,-
19,20,호주 멜버른으로 가는 강아지들 만보 두리 이야기 : 오늘 출발 호주 검역 동물검역 동물운송,4시간 전,https://m.blog.naver.com/noblesse0630/222215167810,blog,8,0,9,1832
20,21,"강아지버튼 워드버튼 , 강아지교육 이젠 말하는 녹음벨로!",23시간 전,https://m.blog.naver.com/mssj100909/222214360272,blog,31,4,27,3901
21,22,TV 보는 강아지,3일 전,https://m.cafe.naver.com/gdqueen/257320,cafe,-,-,-,-
22,23,강아지 탈취제 냄새제거 위해 골랐졍,2일 전,https://m.blog.naver.com/aroomon/222213060719,blog,17,1,7,2493
23,24,강아지입양 전 강아지 사료 불리기 마스터하기..,2021.01.07.,https://m.cafe.naver.com/6655happyclub/397236,cafe,-,-,-,-
24,25,강아지 샴푸 따로 린스가 필요 없는 보들함,4시간 전,https://m.blog.naver.com/kskr3105/222215210729,blog,29,2,10,3722
25,26,공부를 하랬더니 강아지와 놀고 있는 따님....,11시간 전,https://m.cafe.naver.com/expert98/414759,cafe,-,-,-,-
26,27,"강아지 계란 흰자,노른자 급여시 조심할점",2일 전,https://m.blog.naver.com/yoonsu3454/222212628314,blog,22,1,24,5280
27,28,택배차량에 같이 다니는 강아지 아세요?,2일 전,https://m.cafe.naver.com/phmomstory/3783255,cafe,-,-,-,-
28,29,강아지 파티햇🥳one,2020.08.24.,https://m.blog.naver.com/eestep/moment/307065,moment,-,-,-,-
29,30,우리 강아지가 사료를 잘 먹지 않는 이유에대해서 알려드려요!!,8시간 전,https://m.blog.naver.com/qvclinic/222214866776,blog,13,0,15,1327
